"location","source","target","id","developer_comments"
"01a_04100.bin.json:2","04100:002","四章","04100:002",""
"01a_04100.bin.json:3","04100:003","夕映えの射す教室で、わたしは佐和良義宝珠に対する気持ちに気づく事ができた。","04100:003",""
"01a_04100.bin.json:4","04100:004","口に出して言ったことで気持ちを言語化することができたのだ。はっきりと好きなのだと。","04100:004",""
"01a_04100.bin.json:5","04100:005","メイと並ぶほどの好意。しかしそれは幼馴染みとは別のベクトルを向いた気持ちだった。","04100:005",""
"01a_04100.bin.json:6","04100:006","厭らしい気持ちを抱え、宝珠先輩へ向き合おうとしたけれど――……","04100:006",""
"01a_04100.bin.json:9","04100:009","次の日から雨が降り、部は休みとなった。","04100:009",""
"01a_04100.bin.json:10","04100:010","理由は特に明かされることはなかった。ただお休みだと。","04100:010",""
"01a_04100.bin.json:11","04100:011","秋の長雨の名の通り、部の休みと同じく雨はそれほど激しい降り方ではなかったけれど、執拗な性質をもった雨だった。","04100:011",""
"01a_04100.bin.json:12","04100:012","一度も降りやむことはなく――雨脚が弱くなり、そろそろやみそうだなと思ったところで、また思いだしたように雨脚は強くなった。","04100:012",""
"01a_04100.bin.json:13","04100:013","それは部の休みとともに延々と続くものに思われた。しかし、","04100:013",""
"01a_04100.bin.json:18","04100:018","恵理","04100:018",""
"01a_04100.bin.json:19","04100:019","そういえばやっと部が始まるんだって？","04100:019",""
"01a_04100.bin.json:22","04100:022","メイ","04100:022",""
"01a_04100.bin.json:23","04100:023","そうそう。しばらく休みだったから佐和良義先輩に会えるのが待ち遠しいよ。","04100:023",""
"01a_04100.bin.json:25","04100:025","ようやく長雨も、部のお休みも終わりを迎えた。廊下から溢れる陽光のように晴れやかな気持ち。","04100:025",""
"01a_04100.bin.json:27","04100:027","アリスも愉しみだよね。","04100:027",""
"01a_04100.bin.json:30","04100:030","アリス","04100:030",""
"01a_04100.bin.json:31","04100:031","え、ええ……。","04100:031",""
"01a_04100.bin.json:33","04100:033","歯切れの悪い答え方に眉根が曇る。訝しがっているのが分かるけれど――","04100:033",""
"01a_04100.bin.json:35","04100:035","『これはわたしの思い違いかもしれないし……』","04100:035",""
"01a_04100.bin.json:37","04100:037","厳密に言えば――宝珠先輩と何度か顔を合わせる機会があったのだ。","04100:037",""
"01a_04100.bin.json:38","04100:038","それは長雨のときに二度ほど起きた事。","04100:038",""
"01a_04100.bin.json:39","04100:039","一度目は、職員室にプリントを取りに行く際に職員室で行き会った。二度目は講堂の用具室へバスケットボールの入った籠を取りに行ったときだ。","04100:039",""
"01a_04100.bin.json:40","04100:040","どちらも時間に追われていたから、立ち止まって話すような事はできなかっただろう。でも、","04100:040",""
"01a_04100.bin.json:42","04100:042","『目を背けられたような気がする……』","04100:042",""
"01a_04100.bin.json:44","04100:044","どちらも視線が混じり合った途端、思いがけない熱さに驚いたようにさっと視線を外されてしまった。","04100:044",""
"01a_04100.bin.json:45","04100:045","一度でなく二度も目を合わせてくれなかったことに、宝珠先輩と会ってまた知らぬ振りをされるのではという恐れがあった。","04100:045",""
"01a_04100.bin.json:47","04100:047","アリス……？","04100:047",""
"01a_04100.bin.json:50","04100:050","あ、そ、そういえばトイレに行っていて話が聞けなかったけど、今まで何の話をしていたの？","04100:050",""
"01a_04100.bin.json:54","04100:054","自分ながら不自然な切り返しだと思う。でも、","04100:054",""
"01a_04100.bin.json:57","04100:057","そうそう！　映画のポスターの話をしてたの。自分の部屋にポスターを貼ったことがあるかって。","04100:057",""
"01a_04100.bin.json:60","04100:060","そ、そう……。","04100:060",""
"01a_04100.bin.json:62","04100:062","どうにか話題は逸れてくれたようだ。","04100:062",""
"01a_04100.bin.json:64","04100:064","木野","04100:064",""
"01a_04100.bin.json:65","04100:065","私が貼ったことない派で。","04100:065",""
"01a_04100.bin.json:67","04100:067","わたしはある派。メイもあるんだよね。","04100:067",""
"01a_04100.bin.json:70","04100:070","うん……。兄たちに連れられていったアクション映画が良くってさ。","04100:070",""
"01a_04100.bin.json:72","04100:072","パンフレットは当然だけど、嵌まったらついポスター買っちゃうよね！","04100:072",""
"01a_04100.bin.json:74","04100:074","問われ、そうだねと返す。","04100:074",""
"01a_04100.bin.json:75","04100:075","ええと、そもそもね。クラスの子たちと少し前にダサいポスターと、そうじゃないポスター論争があったんだ。","04100:075",""
"01a_04100.bin.json:78","04100:078","だから映画のポスターの話になったんだね。","04100:078",""
"01a_04100.bin.json:81","04100:081","そう。で、どうやったらダサいかそうじゃないか分かるのかって話になって――結局、自分の部屋に貼ってもＯＫかそうじゃないかって話になったんだよ。","04100:081",""
"01a_04100.bin.json:83","04100:083","確かに分かり易い診断方法だよな、とメイが頷いた。どうやら、誤魔化せたようだ。","04100:083",""
"01a_04100.bin.json:84","04100:084","『勘が鋭いところがあるから……』","04100:084",""
"01a_04100.bin.json:86","04100:086","ほっと胸をなで下ろすも――","04100:086",""
"01a_04100.bin.json:87","04100:087","当然、上手く誤魔化せないこともある。","04100:087",""
"01a_04100.bin.json:88","04100:088","それは、","04100:088",""
"01a_04100.bin.json:93","04100:093","今では恒例となったわたしとメイと恵理ちゃんと木野さんとでのお食事。","04100:093",""
"01a_04100.bin.json:94","04100:094","後ろの窓際の位置に陣取り、思い思いの昼食を前に益体のないことを話す。","04100:094",""
"01a_04100.bin.json:95","04100:095","気取った言い方ってあるじゃない。","04100:095",""
"01a_04100.bin.json:99","04100:099","どういうこと？","04100:099",""
"01a_04100.bin.json:101","04100:101","例えば、カメラをキャメラとかいうやつ。","04100:101",""
"01a_04100.bin.json:103","04100:103","ああ、そういうのね。","04100:103",""
"01a_04100.bin.json:105","04100:105","別にキャメラはそこまでじゃないんだけど、宝石の大きさのカラットをキャラットっていう人、どうも受け付けないって話。","04100:105",""
"01a_04100.bin.json:107","04100:107","好物のコロッケを串刺しにしながら語る友人は続く言葉を奪われ――食堂の入り口辺りを凝っと目を細め遠目にした。","04100:107",""
"01a_04100.bin.json:108","04100:108","彼女の視線に誘われ、わたしも視線を向けるとそこには宝珠先輩……でなく、中秋でありながら見事に日焼けをした上級生がいた。","04100:108",""
