"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"01a_04600.bin.json:3","四章","四章","04600:003","False","","",""
"01a_04600.bin.json:4","秋日の一日は参拝から始まった。","秋日の一日は参拝から始まった。","04600:004","False","","",""
"01a_04600.bin.json:6","自宅の傍にあり、ずっと見守ってくれている白羽神社へ詣で、約束の時間に間に合わせるよう住宅地の路地を急いだ。","自宅の傍にあり、ずっと見守ってくれている白羽神社へ詣で、約束の時間に間に合わせるよう住宅地の路地を急いだ。","04600:006","False","","",""
"01a_04600.bin.json:7","朝は秋という季節から初冬へと変わりつつあるらしい。はぁと息を大きく吐いてみると……白くはならなくとも口中に冷ややかな外気が運ばれた。","朝は秋という季節から初冬へと変わりつつあるらしい。はぁと息を大きく吐いてみると……白くはならなくとも口中に冷ややかな外気が運ばれた。","04600:007","False","","",""
"01a_04600.bin.json:8","鼻の奥にツンとした芯のある冷気が残っていた。晩秋も過ぎようとしているのだ。","鼻の奥にツンとした芯のある冷気が残っていた。晩秋も過ぎようとしているのだ。","04600:008","False","","",""
"01a_04600.bin.json:9","約束の時間に、大型書店の前で幼馴染みが待っている。","約束の時間に、大型書店の前で幼馴染みが待っている。","04600:009","False","","",""
"01a_04600.bin.json:10","手を振る彼女へ駆け寄ると、わたしが好きな変わらぬ笑顔で迎えてくれる。軽く抱きつかれ、体温の高いメイに毛並みの深い犬を抱きしめたようだと連想した。","手を振る彼女へ駆け寄ると、わたしが好きな変わらぬ笑顔で迎えてくれる。軽く抱きつかれ、体温の高いメイに毛並みの深い犬を抱きしめたようだと連想した。","04600:010","False","","",""
"01a_04600.bin.json:11","二人、秋天に靴音を響かせ商店街を行き――駅へ。","二人、秋天に靴音を響かせ商店街を行き――駅へ。","04600:011","False","","",""
"01a_04600.bin.json:12","いつもと同じ時間に乗る車両は御幸森女学院高等学校の生徒を多く運んでいた。この時間帯はほぼ三つの車両が埋まるほどに。","いつもと同じ時間に乗る車両は御幸森女学院高等学校の生徒を多く運んでいた。この時間帯はほぼ三つの車両が埋まるほどに。","04600:012","False","","",""
"01a_04600.bin.json:13","かしましい車両は三駅ほど過ぎ、学校への最寄りの駅へ。","かしましい車両は三駅ほど過ぎ、学校への最寄りの駅へ。","04600:013","False","","",""
"01a_04600.bin.json:14","校名が付いている駅から降りて、やはり同じく校名が付いているバス停から降りる。","校名が付いている駅から降りて、やはり同じく校名が付いているバス停から降りる。","04600:014","False","","",""
"01a_04600.bin.json:16","大分葉を散らし歩くたびにかさかさと音を立てる銀杏並木を行き、以前使われていた旧校舎を横目にしながら校門へと急いだ。","大分葉を散らし歩くたびにかさかさと音を立てる銀杏並木を行き、以前使われていた旧校舎を横目にしながら校門へと急いだ。","04600:016","False","","",""
"01a_04600.bin.json:18","そして、いつものように途中、大きく開いている垣根をメイとともに通り、グラウンドを突っ切り校舎へと向かう。","そして、いつものように途中、大きく開いている垣根をメイとともに通り、グラウンドを突っ切り校舎へと向かう。","04600:018","False","","",""
"01a_04600.bin.json:19","校舎にたどり着くまで、ポツポツと在る部活棟を横目にする。そこには茶道部の部室もあり、胸が、心臓が掴まれた気持ちになる。","校舎にたどり着くまで、ポツポツと在る部活棟を横目にする。そこには茶道部の部室もあり、胸が、心臓が掴まれた気持ちになる。","04600:019","False","","",""
"01a_04600.bin.json:22","アリス、と名前を呼ばれメイに手を引かれ、グラウンドを横切りながら校舎へ向かった。","アリス、と名前を呼ばれメイに手を引かれ、グラウンドを横切りながら校舎へ向かった。","04600:022","False","","",""
"01a_04600.bin.json:23","芝生の感触を足下に受けながら秋天を望むと不安な気持ちが少しだけ抜けたのだ。","芝生の感触を足下に受けながら秋天を望むと不安な気持ちが少しだけ抜けたのだ。","04600:023","False","","",""
"01a_04600.bin.json:25","メイとは廊下で別れ――","メイとは廊下で別れ――","04600:025","False","","",""
"01a_04600.bin.json:30","自分のクラスへ。朝の教室は木の香りが強い気がする。まだ半数のクラスメイトしかいない教室には――友人がわたしを迎えてくれた。","自分のクラスへ。朝の教室は木の香りが強い気がする。まだ半数のクラスメイトしかいない教室には――友人がわたしを迎えてくれた。","04600:030","False","","",""
"01a_04600.bin.json:32","春日恵理は鞄を机に置くわたしへと色々な話をしてくれる。","春日恵理は鞄を机に置くわたしへと色々な話をしてくれる。","04600:032","False","","",""
"01a_04600.bin.json:33","夜、自分が音楽バンドを組むならどんな名前を付けるか、昨日ベッドに横になりながら延々と考えた話をされた。わたしが幾つかバンド名の案を出していると――木野ゆり香が。","夜、自分が音楽バンドを組むならどんな名前を付けるか、昨日ベッドに横になりながら延々と考えた話をされた。わたしが幾つかバンド名の案を出していると――木野ゆり香が。","04600:033","False","","",""
"01a_04600.bin.json:35","彼女は低血圧気味で朝が弱い。今も半分眠った状態でわたしたちへと挨拶をする。恒例となった朝の日常。","彼女は低血圧気味で朝が弱い。今も半分眠った状態でわたしたちへと挨拶をする。恒例となった朝の日常。","04600:035","False","","",""
"01a_04600.bin.json:37","そして授業はするすると進み――メイが誘いに来ると皆で学食へ。","そして授業はするすると進み――メイが誘いに来ると皆で学食へ。","04600:037","False","","",""
"01a_04600.bin.json:40","食堂ではわたしは主に和食。メイは洋食。木野さんはとにかく量が少ないもの。恵理ちゃんは揚げ物をチョイスする。","食堂ではわたしは主に和食。メイは洋食。木野さんはとにかく量が少ないもの。恵理ちゃんは揚げ物をチョイスする。","04600:040","False","","",""
"01a_04600.bin.json:41","学食のよいところは安さとごはんのお代わり自由だけれど、わたしと恵理ちゃん以外はしない。小食の木野さんはともかくとして、メイもスタイルには気をつかっているのだ。","学食のよいところは安さとごはんのお代わり自由だけれど、わたしと恵理ちゃん以外はしない。小食の木野さんはともかくとして、メイもスタイルには気をつかっているのだ。","04600:041","False","","",""
"01a_04600.bin.json:43","食事中話すのはもっぱら恵理ちゃんとメイ。恵理ちゃんがＢ級映画好きのお姉さんとの付き合いで観た映画を話し、メイも観た中で一番印象に残っている映画を披露した。","食事中話すのはもっぱら恵理ちゃんとメイ。恵理ちゃんがＢ級映画好きのお姉さんとの付き合いで観た映画を話し、メイも観た中で一番印象に残っている映画を披露した。","04600:043","False","","",""
"01a_04600.bin.json:44","最初から最後まで青い画面を流し続ける映画で、監督の語りだけの映画だという。本当？　と怪しむ二人にフォークを突きつけながら嘘は吐かないと宣言する。わたしの大切な時間。","最初から最後まで青い画面を流し続ける映画で、監督の語りだけの映画だという。本当？　と怪しむ二人にフォークを突きつけながら嘘は吐かないと宣言する。わたしの大切な時間。","04600:044","False","","",""
"01a_04600.bin.json:45","でも今日はやることがある。少し早めに切り上げ職員室へ。わたしの申し出に担任の先生は驚いた顔をしていたけれど――受け入れて貰うことができた。","でも今日はやることがある。少し早めに切り上げ職員室へ。わたしの申し出に担任の先生は驚いた顔をしていたけれど――受け入れて貰うことができた。","04600:045","False","","",""
"01a_04600.bin.json:46","お昼をとり眠くなりながらの授業。好きな文系の教科ならいいけれど、理数系はダメだ。先生の声が子守歌に消えてしまう。休み時間の間に、メールを打つ。","お昼をとり眠くなりながらの授業。好きな文系の教科ならいいけれど、理数系はダメだ。先生の声が子守歌に消えてしまう。休み時間の間に、メールを打つ。","04600:046","False","","",""
"01a_04600.bin.json:47","返事はこなかったけれど目は通してくれただろう。そしてまた眠気を誘う授業を受け――","返事はこなかったけれど目は通してくれただろう。そしてまた眠気を誘う授業を受け――","04600:047","False","","",""
"01a_04600.bin.json:49","授業がすべて終わり、メイが、恵理ちゃんが、木野さんが帰ろうと誘ってくれる。けれど、用があると断った。皆、わたしの言葉に不承不承頷き、教室を出て行った。","授業がすべて終わり、メイが、恵理ちゃんが、木野さんが帰ろうと誘ってくれる。けれど、用があると断った。皆、わたしの言葉に不承不承頷き、教室を出て行った。","04600:049","False","","",""
"01a_04600.bin.json:50","メイだけは分かっていたようだけれど。","メイだけは分かっていたようだけれど。","04600:050","False","","",""
"01a_04600.bin.json:54","アリス","アリス","04600:054","False","","",""
"01a_04600.bin.json:55","――約束の時間。","――約束の時間。","04600:055","False","","","爱丽丝"
"01a_04600.bin.json:57","時計を見、あともう少しで指定した時刻に迫っているのを確認した。","時計を見、あともう少しで指定した時刻に迫っているのを確認した。","04600:057","False","","",""
"01a_04600.bin.json:58","さて、","さて、","04600:058","False","","",""
"01a_04600.bin.json:59","さて、さて、さて――……","さて、さて、さて――……","04600:059","False","","",""
"01a_04600.bin.json:60","頭の中で愉しかった日常を反芻し、","頭の中で愉しかった日常を反芻し、","04600:060","False","","",""
"01a_04600.bin.json:61","切り替える。","切り替える。","04600:061","False","","",""
"01a_04600.bin.json:63","この愉しい日常を壊す訳にはいかない。","この愉しい日常を壊す訳にはいかない。","04600:063","False","","",""
"01a_04600.bin.json:64","友人との語らいが心から愉しいのは、あの人がいてくれているからなのだから。","友人との語らいが心から愉しいのは、あの人がいてくれているからなのだから。","04600:064","False","","",""
"01a_04600.bin.json:65","だから――変わらぬ日常を守るために戦わなくてはならないのだ。","だから――変わらぬ日常を守るために戦わなくてはならないのだ。","04600:065","False","","",""
"01a_04600.bin.json:66","わたしは茜色の夕陽に目を細め、幾度となく熟考し帰結している事柄を改めて考える。","わたしは茜色の夕陽に目を細め、幾度となく熟考し帰結している事柄を改めて考える。","04600:066","False","","",""
"01a_04600.bin.json:67","そう、","そう、","04600:067","False","","",""
"01a_04600.bin.json:69","彼女に会いに行く前に、もう一度お復習いをしなくてはならない。","彼女に会いに行く前に、もう一度お{復習/さら}いをしなくてはならない。","04600:069","False","","",""
"01a_04600.bin.json:70","もし手順を誤ってしまったら、そもそも思い違いをしてしまったら、すべてはご破算になってしまうだろう。","もし手順を誤ってしまったら、そもそも思い違いをしてしまったら、すべてはご破算になってしまうだろう。","04600:070","False","","",""
"01a_04600.bin.json:71","夕陽を目にしながら、考えをまとめる。","夕陽を目にしながら、考えをまとめる。","04600:071","False","","",""
"01a_04600.bin.json:72","茶道部を守るために行動していたわたしだけれど、ある示唆を受け気付き、廃部を回避できるよう算段を付けられた。","茶道部を守るために行動していたわたしだけれど、ある示唆を受け気付き、廃部を回避できるよう算段を付けられた。","04600:072","False","","",""
"01a_04600.bin.json:73","そう、それはやはりあの佐和良義宝珠の机の上に置かれていた“悪戯の手紙”からだった。","そう、それはやはりあの佐和良義宝珠の机の上に置かれていた“悪戯の手紙”からだった。","04600:073","False","","",""
"01a_04600.bin.json:74","しかし、なぜあの手紙が廃部を免れるのに有効だったのか、それは――……","しかし、なぜあの手紙が廃部を免れるのに有効だったのか、それは――……","04600:074","False","","",""
"01a_04600.bin.json:75","推理１《悪戯の手紙の意味は？》","推理１《悪戯の手紙の意味は？》","04600:075","False","","",""
"01a_04600.bin.json:76","佐和良義宝珠へ向けた脅迫文","佐和良義宝珠へ向けた脅迫文","04600:076","False","","",""
"01a_04600.bin.json:78","相手を間違えて送った不幸の手紙","相手を間違えて送った不幸の手紙","04600:078","False","","",""
"01a_04600.bin.json:79","教師からの呼び出しの手紙","教師からの呼び出しの手紙","04600:079","False","","",""
"01a_04600.bin.json:81","そうだ。そして、その事実に気付いた時に、わたしは佐和良義宝珠が呪いのように抱える過去の出来事の真実にも気付いた。","そうだ。そして、その事実に気付いた時に、わたしは佐和良義宝珠が呪いのように抱える過去の出来事の真実にも気付いた。","04600:081","False","","",""
"01a_04600.bin.json:82","幼い彼女へ母親が告げた言葉。","幼い彼女へ母親が告げた言葉。","04600:082","False","","",""
"01a_04600.bin.json:83","“そんな目ならば無ければ良かったのに”","“そんな目ならば無ければ良かったのに”","04600:083","False","","",""
"01a_04600.bin.json:84","佐和良義宝珠にはその声が共感覚によって“朱”の色に見えた。","佐和良義宝珠にはその声が共感覚によって“朱”の色に見えた。","04600:084","False","","",""
"01a_04600.bin.json:85","それは怒り、憎しみを湛えた色だと、混じりっけなしの本当の感情を知ってしまったのだ。","それは怒り、憎しみを湛えた色だと、混じりっけなしの本当の感情を知ってしまったのだ。","04600:085","False","","",""
"01a_04600.bin.json:86","真実を突きつけられたことで彼女はすべてを諦めてしまった。でも、言葉の意味は本当だったのだろうか？","真実を突きつけられたことで彼女はすべてを諦めてしまった。でも、言葉の意味は本当だったのだろうか？","04600:086","False","","",""
"01a_04600.bin.json:87","推理２《佐和良義宝珠の母の言葉の意味は？》","推理２《佐和良義宝珠の母の言葉の意味は？》","04600:087","False","","",""
"01a_04600.bin.json:88","娘が憎くて向けた怒り","娘が憎くて向けた怒り","04600:088","False","","",""
"01a_04600.bin.json:90","娘へ向けられた悪意への怒り","娘へ向けられた悪意への怒り","04600:090","False","","",""
"01a_04600.bin.json:92","佐和良義流への怒り","佐和良義流への怒り","04600:092","False","","",""
"01a_04600.bin.json:97","そうだ。","そうだ。","04600:097","False","","",""
"01a_04600.bin.json:98","わたしは自分の推察が正しいことを、彼女へ語る文言を決め、夕陽から目を背けた。","わたしは自分の推察が正しいことを、彼女へ語る文言を決め、夕陽から目を背けた。","04600:098","False","","",""
"01a_04600.bin.json:99","視界には目を背けた今も、茜色の残像が残っている。それはこれからの出来事を祝福しているかのようだった。","視界には目を背けた今も、茜色の残像が残っている。それはこれからの出来事を祝福しているかのようだった。","04600:099","False","","",""
"01a_04600.bin.json:100","宝珠先輩……。","宝珠先輩……。","04600:100","False","","","爱丽丝"
"01a_04600.bin.json:102","名を呟き、わたしは約束した場所へと足を向けた。","名を呟き、わたしは約束した場所へと足を向けた。","04600:102","False","","",""
"01a_04600.bin.json:105","玉砂利を踏みしめながら、にじり口へ。","玉砂利を踏みしめながら、にじり口へ。","04600:105","False","","",""
"01a_04600.bin.json:106","屈み入ると其処には――","屈み入ると其処には――","04600:106","False","","",""
"01a_04600.bin.json:107","あの時と、","あの時と、","04600:107","False","","",""
"01a_04600.bin.json:108","初めてこの茶室に訪れたときと同じように、部屋の中は秋の空気がそのままに、円い障子から秋の陽が微睡みを誘うように室内を優しく照らしていた。そして、","初めてこの茶室に訪れたときと同じように、部屋の中は秋の空気がそのままに、円い障子から秋の陽が微睡みを誘うように室内を優しく照らしていた。そして、","04600:108","False","","",""
"01a_04600.bin.json:110","――あの時と寸分違わず、障子から射す陽を背に受け、輪郭を淡く浮かび上がらせていたのだ。","――あの時と寸分違わず、障子から射す陽を背に受け、輪郭を淡く浮かび上がらせていたのだ。","04600:110","False","","",""
"01a_04600.bin.json:111","宝珠","宝珠","04600:111","False","","",""
"01a_04600.bin.json:112","お待ちしていました。","お待ちしていました。","04600:112","False","","","宝珠"
"01a_04600.bin.json:114","促す声音はやはり冷えた秋の朝を連想させるものだったけれど、冷ややかさの中に温かみもある。","促す声音はやはり冷えた秋の朝を連想させるものだったけれど、冷ややかさの中に温かみもある。","04600:114","False","","",""
"01a_04600.bin.json:115","促され、近づくと――……","促され、近づくと――……","04600:115","False","","",""
"01a_04600.bin.json:119","逆光で漫然としなかった顔があらわになる。いつもの穏やかで凛とした表情ではなく、初めて会った時のように冷ややかな中に陽だまりの温かさを感じる秋のような人だった。","逆光で漫然としなかった顔があらわになる。いつもの穏やかで凛とした表情ではなく、初めて会った時のように冷ややかな中に陽だまりの温かさを感じる秋のような人だった。","04600:119","False","","",""
"01a_04600.bin.json:120","長く黒い髪はまっすぐ艶やかで、目鼻立ちは作り物のように端正な――あまりにも整いすぎているために、人形のように思えたほどの彼女が座してわたしを対面に座るよう促す。","長く黒い髪はまっすぐ艶やかで、目鼻立ちは作り物のように端正な――あまりにも整いすぎているために、人形のように思えたほどの彼女が座してわたしを対面に座るよう促す。","04600:120","False","","",""
