"location","source","target","id","fuzzy","context","translator_comments","developer_comments"
"01a_02000.bin.json:3","二章","第二章","02000:003","False","","","

第二章

第二章"
"01a_02000.bin.json:5","[b]アリス","[b]爱丽丝","02000:005","False","","","

[b]爱丽丝

[b]爱丽丝"
"01a_02000.bin.json:6","[b]彼女から連想するのは波紋さえもない静かな湖面[k]","[b]由她联想到的是连波纹都没有的平静的湖面[k]","02000:006","False","","","爱丽丝

[b]由她联想到的是连波纹都没有的平静的湖面[k]

[b]她联想到的是一片连波纹都没有的安静湖面。[k]"
"01a_02000.bin.json:9","[b]ピアノの前の彼女は、透き通った緊張と[k]","[b]钢琴前的她，有着澄澈的紧张感[k]","02000:009","False","","","爱丽丝

[b]钢琴前的她，有着清澈的紧张感[k]

[b]钢琴前的她充满了紧张感[k]"
"01a_02000.bin.json:12","[b]研ぎ澄まされた集中を水のヴェールのように纏う[k]","[b]以及如同水的面纱般缠绕的打磨过的专注[k]","02000:012","False","","","爱丽丝

[b]像水的面纱一样裹住被打磨过的专注[k]

[b]把精湛的集中像水的面纱一样缠绕。[k]"
"01a_02000.bin.json:15","[b]その場にはピアノと彼女だけ[k]","[b]那里只有钢琴和她[k]","02000:015","False","","","爱丽丝

[b]那个场合只有钢琴和她[k]

[b]只有钢琴和她[k]"
"01a_02000.bin.json:18","[b]けれど、[k]","[b]但是，[k]","02000:018","False","","","爱丽丝

[b]但是，[k]

[b]但是[k]"
"01a_02000.bin.json:21","[b]静かな水面へ風紋がさざ波のように広がり、[k]","[b]如果风纹像涟漪一样在平静的水面上扩散，[k]","02000:021","False","","","爱丽丝

[b]风纹像涟漪一样在平静的水面上扩散开来。[k]

[b]风纹像涟漪一样蔓延到安静的水面，[k]"
"01a_02000.bin.json:24","[b]ピアノと少女との二人だけの世界を[k]","[b]将钢琴和少女的二人世界[k]","02000:024","False","","","爱丽丝

[b]钢琴和少女的二人世界[k]

[b]钢琴与少女两人的世界[k]"
"01a_02000.bin.json:27","[b]奪ってしまったら――……[k]","[b]夺走了的话——……[k]","02000:027","False","","","爱丽丝

[b]如果夺走了的话——……[k]

[b]如果夺走了的话——……[k]"
